node,timestamp,split,query,summary
21,1617483708.0,"['champion', 'final', 'leagu', 'footbal', 'win']","[[""gra"", 0.7071067811865475], [""captain"", 0.7071067811865475]]",Athletic Bilbao should better win now. They should not come and be using stupid gra gra for Barca next week. Oyarzabal scoring in the Copa final as captain? This is massive.
22,1617483803.0,"['champion', 'final', 'leagu', 'footbal', 'win']","[[""kit"", 0.4646777997124211], [""number"", 0.4646777997124211], [""gold"", 0.4646777997124211], [""massiv"", 0.4321540310778755], [""cri"", 0.40677576228975565]]",Oyarzabal scoring in the Copa final as captain? This is massive. I’m crying Athletic are playing the 2020 and 2021 Copa del Rey finals a week apart and are gonna lose them both 😭. Real Sociedad are winning because they have gold numbering on their kits and Athletic don't.
23,1617484096.0,"['champion', 'final', 'leagu', 'footbal', 'win']","[[""month"", 0.6126635869917842], [""lose"", 0.5623840612155251], [""win"", 0.5553084700102215]]",Bilbao about to lose 2 finals in the same month. Bilbao currently losing the copa Del Rey final of last season to real sociedad. How does this sound ? 😂😂. Real sociedad winning.
24,1617484211.0,"['champion', 'final', 'leagu', 'footbal', 'win']","[[""found"", 0.7071067811865475], [""fun"", 0.7071067811865475]]",Finally found a stream for the copa del rey final. Having fun watching the copa del rey final.
25,1617484422.0,"['champion', 'final', 'leagu', 'footbal', 'win']","[[""foul"", 1.0]]",28 fouls in the copa del rey final 💀.
26,1617484604.0,"['need', 'half', 'sub', 'second', 'lead', '2nd']","[[""lead"", 0.5], [""1988"", 0.5], [""david"", 0.5], [""silva"", 0.5]]","Are we sure there's really no fans inside La Cartuja? Quite the racket with ten minutes to go. Real Sociedad lead 1-0 Final Copa Del Rey. David Silva leading Sociedad to first trophy since 1988, scenes."
27,1617484824.0,"['champion', 'final', 'leagu', 'footbal', 'win']","[[""lose"", 1.0]]",Bilbao currently losing the copa Del Rey final of last season to real sociedad. How does this sound ? 😂😂. Bilbao losing both Copa finals ahhhh.
28,1617484934.0,"['champion', 'final', 'leagu', 'footbal', 'win']","[[""play"", 0.4237145436438605], [""week"", 0.4237145436438605], [""space"", 0.4237145436438605], [""month"", 0.40517500553040653], [""omoo"", 0.39895686033383926], [""man"", 0.3715704441960173]]",They are playing last years Copa Del Rey final in April. Athletic Bilbao is playing in both. Omoo. Bilbao losing two finals in a month. You cannot keep playing Haram football and be expecting God don catch una😝😝😝. Athletic Bilbao could lose 2 CDR finals in the space of 2 weeks?
29,1617485060.0,"['foul', 'refere', 'book', 'decis', 'var', 'given', 'pen', 'dive', 'ref', 'penalti']","[[""penyarzab"", 0.6259150411675405], [""cours"", 0.5590262821354087], [""dive"", 0.5438014133138112]]",Real Sociedad have been better but they love a dive over absolutely anything and everything eh. Of course Sociedad are winning and from a penalty from Penyarzabal.
29,1617485060.0,"['champion', 'final', 'leagu', 'footbal', 'win']","[[""penyarzab"", 0.6207255547130748], [""penalti"", 0.5543915504656912], [""cours"", 0.5543913730374893]]",Of course Sociedad are winning and from a penalty from Penyarzabal. LA REAL LEAD IN THE CUP FINAL! OYARZABAL'S PENALTY!.
30,1617485205.0,"['need', 'half', 'sub', 'second', 'lead', '2nd']","[[""inshallah"", 0.45034075008286606], [""hold"", 0.45034075008286606], [""cara"", 0.4182931733745534], [""mode"", 0.3740629798844506], [""clear"", 0.3740629798844506], [""anoth"", 0.3735920407313024]]","Another Athletic Club Sub. Yuri Berchiche OFF and Ander Cara ON. Sociedad going into clear and inshallah mode, I hope this lead holds 😬."
31,1617485413.0,"['champion', 'final', 'leagu', 'footbal', 'win']","[[""congrat"", 0.7013194910621423], [""deserv"", 0.41156245838525235], [""david"", 0.41156245838525235], [""silva"", 0.41156245838525235]]",Well deserved Copa win for Real Sociedad 👏🏼. David Silva comes into this team and they start seeing out finals and close games? lol not a coincidence. 💙🏆 Congrats to David Silva on winning the Copa Del Rey with Real Sociedad Fútbol.. David Silva still winning trophies.
32,1617485509.0,"['take', 'knee', 'player']","[[""look"", 0.6247147847416321], [""2020"", 0.5907276930086062], [""place"", 0.5106586241687752]]","David Silva has won the 2020 League Cup Final and the 2020 Copa del Rey Final, with the fixtures taking place 13 months apart. Real Sociedad are champions. Look at the players. Just look what it means."
