timestamp,query,summary
1662472257.0,"[[""elizabeth"", 1.0]]","@trussliz appointed PM by Queen Elizabeth. Day 0001🇬🇧. Queen Elizabeth welcomes Liz Truss during an audience where she invited the newly elected leader of the Conservative party to become Prime Minister and form a new government, at Balmoral Castle, in Scotland 📷 Jane Barlow."
1662473587.0,"[[""elizabeth"", 1.0]]",I love Queen Elizabeth. Boris Johnson arrived at Balmoral Castle in Scotland to submit his resignation as prime minister to Queen Elizabeth II. Liz Truss is set to become Britain’s third female prime minister. Follow our updates..
1662475050.0,"[[""tue"", 0.6352322456765496], [""gmt"", 0.5632761705652777], [""sep"", 0.5283937449724818]]","How will Liz Truss help businesses and households with soaring energy bills? Via The Guardian - UK : Tue, 06 Sep 2022, 13:43:05 GMT.. Who Will Liz Truss Appoint to Her Cabinet? Via New York Times : Tue, 06 Sep 2022, 14:07:24 GMT.."
1662477490.0,"[[""jenga"", 1.0]]","@MrHarryCole But does rather suggest a JENGA tower about to collapse :( @MrHarryCole Looks like giant Jenga! @MrHarryCole Very Jenga. Who's going to pull the first piece out? @Number10cat ? @josh_withey Was I the only one thinking ""Jenga"" when I saw this?"
1662479059.0,"[[""lectern"", 0.47237738043919014], [""bag"", 0.4176087826148424], [""rain"", 0.4003049125257971], [""podium"", 0.23618869021959507], [""omen"", 0.23618869021959507], [""metaphor"", 0.23618869021959507], [""weather"", 0.23618869021959507], [""wet"", 0.23618869021959507], [""god"", 0.23618869021959507], [""fallaci"", 0.1907704396078158], [""parad"", 0.16985571219005002], [""bin"", 0.15123441229742576], [""pathet"", 0.13925421630776047]]","Yep, bin bag on the lectern is pretty much the perfect imagery to kick off our 4th Tory prime minister in 6 years with. Do u think liz truss is worried about this level of pathetic fallacy bc i would be. Don’t rain on my parade but the rain will sink my premiership."
1662479983.0,"[[""lectern"", 0.5038848562072891], [""deal"", 0.30983037817974957], [""podium"", 0.25194242810364453], [""weather"", 0.25194242810364453], [""reuter"", 0.25194242810364453], [""consequenti"", 0.25194242810364453], [""castl"", 0.25194242810364453], [""storm"", 0.25194242810364453], [""spade"", 0.25194242810364453], [""broadband"", 0.25194242810364453], [""doctor"", 0.204541834895829], [""action"", 0.19233549467157512], [""aspir"", 0.1837256192480822], [""transform"", 0.17239455881978646]]","“Lectern if you want to, this lectern is now for turning”. @wtfisgoingonpod how is that a podium? It's clearly a lectern. ‘Hugely consequential’ but perhaps not on the way she’s trying to mean 🤦‍♂️. Truss confirms she will ""take action this week"" to deal with energy bills."
1662481062.0,"[[""transform"", 0.5163989043535857], [""ride"", 0.3674252852086124], [""storm"", 0.36285276854533516], [""broadband"", 0.25819945217679285], [""aspir"", 0.25819945217679285], [""tribut"", 0.25819945217679285], [""bag"", 0.25819945217679285], [""elizabeth"", 0.25819945217679285], [""consequ"", 0.25819945217679285], [""virgin"", 0.16110229800629802], [""freeview"", 0.14683024264936476], [""youtub"", 0.1383975669042435]]","""We will transform Britain into an aspiration nation."" Surely, you wouldn't want that. Any aspiration from this nation means you'd be out of a job.. @SkyNews Riding the storm eh, makes a change from her riding other men while married."
1662482131.0,"[[""weathercock"", 0.5773502691896256], [""lectern"", 0.5773502691896256], [""ride"", 0.4145325145208627], [""storm"", 0.40186580812299033]]","Liz Truss vows to 'ride out the storm' in first address to nation as PM. Liz Truss claims Britain can 'ride out the storm' of energy crisis in debut speech as Prime Minister, via @AlexofBrown.. Truss the weathercock. @superpaddiepads The lectern isn't as twisted as Truss is."
1662483091.0,"[[""transform"", 0.5773502691896257], [""storm"", 0.5773502691896257], [""consequenti"", 0.5773502691896257]]","Liz Truss wants to transform the nation.. ""Hugely consequential"". Storm you say? 🤔. Liz Truss has said the country 'can ride out the storm' of the cost of living crisis as she delivered her first address to the nation as prime minister. Read more:."
1662484032.0,"[[""storm"", 0.556423819924638], [""ride"", 0.5384809527332486], [""shapp"", 0.5166757823909606], [""majesti"", 0.2583378911954803], [""consequenti"", 0.2583378911954803]]","Read more on Liz Truss' vow to 'ride out the storm' here:. Truss in commons doing sackings.. so far Raab, Barclay, and Shapps all out. Consequential can be as positive as negative.. A tsunami is consequential, and so is a £100 million lottery win. ;-)."
1662485351.0,"[[""elizabeth"", 0.7071067811865475], [""barclay"", 0.5054952654952108], [""shapp"", 0.4944436636887223]]","Raab, Shapps and Barclay - who all backed Sunak - returning to the backbenches. Looks like it's going to be a cabinet of all the loyalists. Steve Barclay and possibly Grant Shapps could be next to go.. Queen Elizabeth appoints Liz Truss as UK's new PM."
1662487427.0,"[[""kwasi"", 0.38333583588887665], [""chancellor"", 0.35571524969790436], [""kwarteng"", 0.3550195025539122], [""deputi"", 0.31635461401779985], [""fuck"", 0.31635461401779985], [""health"", 0.31635461401779985], [""check"", 0.31635461401779985], [""secretari"", 0.31635461401779985], [""storm"", 0.2237004060220277], [""ride"", 0.22369257957279465]]","@theresecoffey has been appointed health secretary and deputy prime minister.. Too little too late BBC, you had three years to fact-check him and you didn't.. Truss appoints top team - with Kwasi Kwarteng as chancellor."
1662488431.0,"[[""fuck"", 0.5], [""deliv"", 0.5], [""suella"", 0.38994932320931536], [""barclay"", 0.36288097545313985], [""shapp"", 0.3439729606439695], [""braverman"", 0.3129529123184459]]",Dominic Raab and Grant Shapps are dumped as Truss forms Cabinet via @MailOnline. Liz Truss needs to deliver for those who deliver….. God we're so fucked. @piersmorgan Fucking what? 😂. 🚨 Downing Street has announced Suella Braverman is the new Home Secretary..
1662489477.0,"[[""consequenti"", 0.7071067811865475], [""suella"", 0.7071067811865475]]",@BestForBritain @cierzo1 “Hugely consequential”? So was the plague! If you define consequential as “did everything he could to undermine democracy “. 🚨 Downing Street has announced Suella Braverman is the new Home Secretary..
1662491116.0,"[[""suella"", 1.0]]","Goan-origin Suella Braverman set to be named as next UK Home Secretary.. 🚨 Downing Street has announced Suella Braverman is the new Home Secretary.. Suella Braverman, who stood against Liz Truss to become Tory leader, is made home secretary - follow live updates."
1662494001.0,"[[""storm"", 0.7151935909005688], [""ride"", 0.6989264106719318]]","@SkyNews She can ride out the storm, she has money. What about us? In first speech as UK PM, Truss promises to ‘ride out’ economic storm. “We can ride out the storm.”. Prime Minister Liz Truss lays out her plan for Britain - focussing on “the economy, on energy and on the NHS”.."
1662494903.0,"[[""brussel"", 0.5951289254201263], [""confront"", 0.4892467902759493], [""step"", 0.46799675812500313], [""earli"", 0.43294130631929134]]",Truss to step back from early confrontation with Brussels. Truss to step back from early confrontation with Brussels Sunlit Uplands. UK'S PM TRUSS IS TO STEP BACK FROM EARLY CONFRONTATION WITH BRUSSELS - FT. Truss to step back from early confrontation with Brussels.
1662496383.0,"[[""imbecil"", 0.7071067811865475], [""mercer"", 0.7071067811865475]]","@trussliz @10DowningStreet AN IMBECILE..😂🤣😂. This is the reaction of Plymouth Tory MP Johnny Mercer’s wife to his sacking as Minister for Veterans (Mercer was the man who campaigned for the role to be created, but he must have backed Sunak in the leadership election).."
1662499982.0,"[[""zelenski"", 1.0]]",President Zelensky invites Liz Truss to Ukraine via @BBCNews. BREAKING: UK PM Liz Truss expressed 'full backing' to Ukraine's Zelensky.
